7 Z: 0.99)
LSM6DSO | Gyro: (X: -105.13 Y: 16.91 Z: 37.17) | Accl: (X: 0.10 Y: -0.51 Z: 1.08)
LSM6DSO | Gyro: (X: -37.21 Y: -4.69 Z: 1.77) | Accl: (X: 0.10 Y: -0.60 Z: 1.02)
LSM6DSO | Gyro: (X: -35.28 Y: -9.05 Z: 0.36) | Accl: (X: 0.06 Y: -0.61 Z: 0.96)
LSM6DSO | Gyro: (X: -35.53 Y: -12.62 Z: 1.83) | Accl: (X: 0.03 Y: -0.63 Z: 0.96)
LSM6DSO | Gyro: (X: -6.15 Y: -9.91 Z: 12.77) | Accl: (X: 0.05 Y: -0.70 Z: 1.06)
LSM6DSO | Gyro: (X: 1.06 Y: -8.30 Z: 14.55) | Accl: (X: 0.08 Y: -0.69 Z: 1.00)
LSM6DSO | Gyro: (X: 5.30 Y: -10.18 Z: 13.09) | Accl: (X: 0.11 Y: -0.68 Z: 0.97)
LSM6DSO | Gyro: (X: 18.73 Y: -24.74 Z: -9.25) | Accl: (X: 0.13 Y: -0.62 Z: 0.96)
LSM6DSO | Gyro: (X: 22.44 Y: -30.48 Z: -12.05) | Accl: (X: 0.12 Y: -0.61 Z: 1.01)
LSM6DSO | Gyro: (X: 31.11 Y: -29.98 Z: -12.03) | Accl: (X: 0.12 Y: -0.63 Z: 1.03)
LSM6DSO | Gyro: (X: 87.75 Y: -68.68 Z: -15.38) | Accl: (X: 0.13 Y: -0.55 Z: 1.07)
LSM6DSO | Gyro: (X: 95.57 Y: -81.91 Z: -13.40) | Accl: (X: 0.14 Y: -0.51 Z: 0.94)
LSM6DSO | Gyro: (X: 91.74 Y: -94.64 Z: -18.37) | Accl: (X: 0.20 Y: -0.47 Z: 0.93)
LSM6DSO | Gyro: (X: 118.02 Y: -31.28 Z: -69.33) | Accl: (X: 0.42 Y: -0.35 Z: 1.12)
LSM6DSO | Gyro: (X: 125.47 Y: -39.53 Z: -79.42) | Accl: (X: 0.32 Y: -0.35 Z: 0.99)
